"PVWatts Hourly PV Performance Data"
"Requested Location","52242, USA"
"Location","Lat, Lng: 41.65, -91.54"
"Latitude (DD)","41.65"
"Longitude (DD)","-91.54"
"Elevation (m)","207.75999450684"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","30"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","10","11","548","130","3","3.1","0.87","631.59","15.632","2268.951","2172.698"
"1","10","12","0","121","3","2.8","0.87","114.385","5.392","401.304","371.23"
"1","10","13","0","68","2","2.2","0.87","61.647","3.441","213.572","190.151"
"1","10","14","0","63","1","2.3","0.87","57.096","2.31","198.868","175.967"
"1","10","15","0","7","0","2.7","0.87","6.307","0.134","20.088","3.522"
"1","10","16","0","1","0","3","0.87","0.899","0.016","0","0"
"1","10","17","0","0","0","3.5","0.87","0","0","0","0"
"1","10","18","0","0","0","4.1","0.87","0","0","0","0"
"1","10","19","0","0","0","4.7","0.87","0","0","0","0"
"1","10","20","0","0","0","5","0.87","0","0","0","0"
"1","10","21","0","0","0","5.4","0.87","0","0","0","0"
"1","10","22","0","0","0","5.9","0.87","0","0","0","0"
"1","10","23","0","0","0","5.9","0.87","0","0","0","0"
"1","11","0","0","0","-1","5.6","0.87","0","-1","0","0"
"1","11","1","0","0","-1","5.6","0.87","0","-1","0","0"
"1","11","2","0","0","-2","5.7","0.87","0","-2","0","0"
"1","11","3","0","0","-2","5.6","0.87","0","-2","0","0"
"1","11","4","0","0","-2","5.3","0.87","0","-2","0","0"
"1","11","5","0","0","-3","4.9","0.87","0","-3","0","0"
"1","11","6","0","0","-3","4.6","0.87","0","-3","0","0"
"1","11","7","0","0","-2","4.6","0.87","0","-2","0","0"
"1","11","8","0","42","-1","4.7","0.87","40.105","-0.374","135.283","114.636"
"1","11","9","1","98","0","4.5","0.87","97.129","1.57","346.13","318.011"
"1","11","10","42","151","0","4.3","0.87","194.036","3.226","704.92","664.087"
"1","11","11","43","180","0","4.2","0.87","230.065","3.875","834.42","788.999"
"1","11","12","74","192","0","4.1","0.87","271.371","4.637","986.915","936.091"
"1","11","13","43","166","0","3.9","0.87","212.92","3.745","772.451","729.226"
"1","11","14","12","121","0","3.2","0.87","127.844","2.505","459.067","426.946"
"1","11","15","611","60","-1","1.9","0.87","412.931","9.31","1514.691","1445.165"
"1","11","16","274","23","-2","1.1","0.87","128.066","1.23","291.601","265.414"
"1","11","17","0","0","-3","1","0.87","0","-3","0","0"
"1","11","18","0","0","-3","1","0.87","0","-3","0","0"
"1","11","19","0","0","-3","1.2","0.87","0","-3","0","0"
"1","11","20","0","0","-3","1.5","0.87","0","-3","0","0"
