"PVWatts Hourly PV Performance Data"
"Requested Location","52242, USA"
"Location","Lat, Lng: 41.65, -91.54"
"Latitude (DD)","41.65"
"Longitude (DD)","-91.54"
"Elevation (m)","207.75999450684"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","9.46"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","9","1","0","0","-4","3.5","0.87","0","-4","0","0"
"1","9","2","0","0","-4","2.9","0.87","0","-4","0","0"
"1","9","3","0","0","-5","2.5","0.87","0","-5","0","0"
"1","9","4","0","0","-5","2.2","0.87","0","-5","0","0"
"1","9","5","0","0","-4","1.8","0.87","0","-4","0","0"
"1","9","6","0","0","-4","1.7","0.87","0","-4","0","0"
"1","9","7","0","0","-3","2","0.87","0","-3","0","0"
"1","9","8","390","40","-1","2.1","0.87","144.336","2.303","450.12","418.316"
"1","9","9","383","90","0","2.1","0.87","254.824","6.063","909.884","861.789"
"1","9","10","224","154","0","2.1","0.87","283.023","6.771","1031.39","978.989"
"1","9","11","560","126","0","2","0.87","464.088","11.348","1689.385","1613.669"
"1","9","12","124","194","1","2","0.87","280.442","7.831","1009.782","958.147"
"1","9","13","213","171","1","2.1","0.87","298.701","8.144","1082.953","1028.725"
"1","9","14","295","122","0","1.9","0.87","267.208","6.648","967.958","917.805"
"1","9","15","116","77","0","1.7","0.87","119.63","3.073","413.276","382.778"
"1","9","16","0","18","0","2","0.87","17.773","0.374","39.282","22.035"
"1","9","17","0","0","0","2.5","0.87","0","0","0","0"
"1","9","18","0","0","0","3","0.87","0","0","0","0"
"1","9","19","0","0","0","3.3","0.87","0","0","0","0"
"1","9","20","0","0","0","3.3","0.87","0","0","0","0"
"1","9","21","0","0","-1","3.1","0.87","0","-1","0","0"
"1","9","22","0","0","-1","3.1","0.87","0","-1","0","0"
"1","9","23","0","0","-1","3.2","0.87","0","-1","0","0"
"1","10","0","0","0","-1","3.1","0.87","0","-1","0","0"
"1","10","1","0","0","-1","3.3","0.87","0","-1","0","0"
"1","10","2","0","0","0","3.5","0.87","0","0","0","0"
"1","10","3","0","0","0","3.7","0.87","0","0","0","0"
"1","10","4","0","0","0","3.7","0.87","0","0","0","0"
"1","10","5","0","0","0","3.3","0.87","0","0","0","0"
"1","10","6","0","0","-1","3.3","0.87","0","-1","0","0"
"1","10","7","0","0","0","4","0.87","0","0","0","0"
"1","10","8","410","50","0","4.3","0.87","159.286","2.543","501.064","467.455"
"1","10","9","90","111","1","4","0.87","154.94","3.682","553.814","518.336"
"1","10","10","26","149","2","3.5","0.87","164.337","5.069","588.028","551.337"
"1","10","11","548","130","3","3.1","0.87","462.54","12.249","1677.444","1602.151"
"1","10","12","0","121","3","2.8","0.87","120.381","5.518","422.842","392.004"
"1","10","13","0","68","2","2.2","0.87","66.713","3.559","231.777","207.71"
"1","10","14","0","63","1","2.3","0.87","61.801","2.418","215.877","192.374"
"1","10","15","0","7","0","2.7","0.87","6.854","0.146","21.919","5.288"
"1","10","16","0","1","0","3","0.87","0.978","0.017","0","0"
"1","10","17","0","0","0","3.5","0.87","0","0","0","0"
"1","10","18","0","0","0","4.1","0.87","0","0","0","0"
"1","10","19","0","0","0","4.7","0.87","0","0","0","0"
"1","10","20","0","0","0","5","0.87","0","0","0","0"
"1","10","21","0","0","0","5.4","0.87","0","0","0","0"
"1","10","22","0","0","0","5.9","0.87","0","0","0","0"
"1","10","23","0","0","0","5.9","0.87","0","0","0","0"
"1","11","0","0","0","-1","5.6","0.87","0","-1","0","0"
"1","11","1","0","0","-1","5.6","0.87","0","-1","0","0"
"1","11","2","0","0","-2","5.7","0.87","0","-2","0","0"
"1","11","3","0","0","-2","5.6","0.87","0","-2","0","0"
"1","11","4","0","0","-2","5.3","0.87","0","-2","0","0"
"1","11","5","0","0","-3","4.9","0.87","0","-3","0","0"
"1","11","6","0","0","-3","4.6","0.87","0","-3","0","0"
"1","11","7","0","0","-2","4.6","0.87","0","-2","0","0"
"1","11","8","0","42","-1","4.7","0.87","41.912","-0.346","141.579","120.708"
"1","11","9","1","98","0","4.5","0.87","99.248","1.604","353.646","325.261"
